cell_type,pristina_gene,zebrafish_symbol,n_cells,mean_log1p_expression,detection_fraction,log2_fc_vs_other,detection_difference_vs_other,mean_expression_rank,is_target_population
anterior intestine,PrileiEVm011523t1,fuca1.1,1429,0.104230665,0.025892232330300895,-0.8504568,-0.036224332086876365,4,False
anterior intestine,PrileiEVm008813t1,hexb,1429,0.13034223,0.032190342897130846,-0.61106104,-0.025708430109003574,2,False
anterior intestine,PrileiEVm014063t1,ctsl.1,1429,0.5205358,0.12806158152554284,0.5404971,0.0506075937954817,2,False
anterior intestine,PrileiEVm014379t1,ctsbb,1429,0.086567946,0.021693491952414264,-0.031069681,0.0006045348971994852,2,False
anterior intestine,PrileiEVm012889t1,naga,1429,0.076248474,0.018894331700489844,-0.3665485,-0.011524891203395723,3,False
anterior/mid-intestine 1,PrileiEVm011523t1,fuca1.1,2419,0.15299259,0.036378668871434476,-0.56680095,-0.02727365773084898,2,False
anterior/mid-intestine 1,PrileiEVm008813t1,hexb,2419,0.12051104,0.028524183546920236,-0.7579315,-0.034396507117405925,5,False
anterior/mid-intestine 1,PrileiEVm014063t1,ctsl.1,2419,0.33586374,0.07895824720959049,-0.08999369,-0.0085454109701006,3,False
anterior/mid-intestine 1,PrileiEVm014379t1,ctsbb,2419,0.047582444,0.01116163704009921,-0.47422472,-0.013567657662856593,4,False
anterior/mid-intestine 1,PrileiEVm012889t1,naga,2419,0.07276152,0.017775940471269115,-0.44909167,-0.014708695174033806,4,False
anterior/mid-intestine 2,PrileiEVm011523t1,fuca1.1,514,2.5874352,0.5797665369649787,3.712423,0.5540198840298601,1,True
anterior/mid-intestine 2,PrileiEVm008813t1,hexb,514,2.4641495,0.5466926070038893,3.6672359,0.5217469610489744,1,True
anterior/mid-intestine 2,PrileiEVm014063t1,ctsl.1,514,1.5757418,0.357976653696497,2.1223307,0.2887467646931782,1,True
anterior/mid-intestine 2,PrileiEVm014379t1,ctsbb,514,0.8269717,0.18677042801556376,2.6600895,0.17532747115551112,1,True
