names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,Description,Preferred_name
PrileiEVm016448t1,16.859037,10.2324705,9.004293406097398e-64,5.678107421885019e-60,0.668141592920354,,
PrileiEVm004312t1,10.155847,8.622376,3.120888243588133e-24,9.840160632033384e-21,0.4026548672566372,nucleoside:sodium symporter activity,SLC28A3
PrileiEVm016834t1,4.1207504,7.151688,3.776400635192613e-05,0.07937994135174872,0.16371681415929204,negative regulation of fibroblast proliferation,C1QL4
PrileiEVm013096t1,4.038586,3.9313571,5.3774378985959494e-05,0.08477530847136515,0.17699115044247787,Belongs to the peptidase S1 family,TMPRSS6
PrileiEVm000558t1,3.717839,1.9140687,0.00020093419385036179,0.25341820528407627,0.25663716814159293,K02A2.6-like,-
PrileiEVm014934t1,3.4729733,3.7012038,0.000514726284952869,0.5409773254854653,0.15486725663716813,Belongs to the peptidase S1 family,TMPRSS6
PrileiEVm008386t1,3.3305671,6.6857076,0.0008666929130007796,0.7727759922773088,0.13274336283185842,Major Facilitator Superfamily,SLC18A1
PrileiEVm011352t1,3.2961006,5.8351035,0.000980369162419675,0.7727759922773088,0.13274336283185842,tryptophan 5-monooxygenase activity,TPH1
PrileiEVm019677t1,3.2306304,5.0778885,0.0012351758772794037,0.8654465646804355,0.13274336283185842,,
PrileiEVm013667t1,2.5618017,2.098056,0.010413073246419146,0.99946321114803,0.14601769911504425,ATP-grasp domain,-
PrileiEVm012180t1,2.3967388,1.5901858,0.016541712407486052,0.99946321114803,0.168141592920354,"fast, calcium ion-dependent exocytosis of neurotransmitter",SYT2
PrileiEVm024883t1,2.2223425,6.5886474,0.026260166968355605,0.99946321114803,0.08849557522123894,,
PrileiEVm012063t1,2.2125735,1.5874885,0.0269270585945587,0.99946321114803,0.1504424778761062,enolase 2,-
PrileiEVm005345t1,2.1463237,1.6640985,0.031847166952955586,0.99946321114803,0.1415929203539823,Transition metal ion binding,APLP2
PrileiEVm023763t1,1.9815817,0.7050435,0.04752608009678931,0.99946321114803,0.6637168141592921,,
PrileiEVm002547t1,1.9484223,1.2343764,0.05136445282858252,0.99946321114803,0.16371681415929204,sodium:potassium-exchanging ATPase activity,ATP1A1
PrileiEVm014715t1,1.8561219,5.2464023,0.06343619057737587,0.99946321114803,0.0752212389380531,"7,8-dihydroneopterin 3'-triphosphate biosynthetic process",GCH1
PrileiEVm006035t1,1.8437846,5.095497,0.06521454406197393,0.99946321114803,0.0752212389380531,Sodium:neurotransmitter symporter family,DAT
PrileiEVm017476t1,1.7915689,1.1702985,0.07320205239964511,0.99946321114803,0.15486725663716813,synaptogyrin 1,SYNGR1
PrileiEVm001590t1,1.7493744,1.3408762,0.08022632537892291,0.99946321114803,0.13274336283185842,calcium-transporting ATPase activity,ATP2B1
PrileiEVm015683t1,1.641572,2.6450717,0.10067872389115608,0.99946321114803,0.07964601769911504,Tetratricopeptide repeat,-
PrileiEVm007258t1,1.6283863,5.068782,0.10344300657757434,0.99946321114803,0.06637168141592921,folate import across plasma membrane,-
PrileiEVm011226t1,1.6017166,1.5383996,0.1092182920418538,0.99946321114803,0.10619469026548672,structural constituent of cytoskeleton,-
PrileiEVm021066t1,1.5814449,2.428629,0.11377634755364514,0.99946321114803,0.07964601769911504,"Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases",-
PrileiEVm003235t1,1.5266609,2.25372,0.12684536475843916,0.99946321114803,0.07964601769911504,diacylglycerol binding,UNC13C
PrileiEVm025130t1,1.4715328,0.99038434,0.14114707258529963,0.99946321114803,0.14601769911504425,,
PrileiEVm003026t1,1.4715328,0.868409,0.14114707258529963,0.99946321114803,0.16371681415929204,Cadherin repeats.,CLSTN2
PrileiEVm011911t1,1.4585534,1.1324998,0.1446880537640431,0.99946321114803,0.12389380530973451,,
PrileiEVm001583t1,1.4299116,1.2845864,0.15274237895686077,0.99946321114803,0.10619469026548672,Solute carrier family 12,-
PrileiEVm014509t1,1.3752652,1.4798262,0.16904924261244203,0.99946321114803,0.09292035398230089,nmrA-like family domain-containing protein,NMRAL1
PrileiEVm005916t1,1.311469,0.99572384,0.18969937363639044,0.99946321114803,0.11946902654867257,Transition metal ion binding,APLP2
PrileiEVm013312t1,1.2846159,4.5517907,0.19892656168447853,0.99946321114803,0.05309734513274336,gamma-glutamylaminecyclotransferase activity,GGACT
PrileiEVm001481t1,1.2846159,4.555254,0.19892656168447853,0.99946321114803,0.05309734513274336,Protocadherin-7-like isoform X1,PCDH7
PrileiEVm017747t1,1.256639,2.1442556,0.20888436568439894,0.99946321114803,0.06637168141592921,Secreted protein acidic and rich in cysteine Ca binding region,cbn-1
PrileiEVm003723t1,1.2485441,1.4636819,0.2118318563929923,0.99946321114803,0.084070796460177,Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family,-
PrileiEVm001147t1,1.1993325,1.7775449,0.23039867598866426,0.99946321114803,0.07079646017699115,,
PrileiEVm001891t1,1.1926135,1.3495157,0.23302077498475748,0.99946321114803,0.084070796460177,Solute carrier family 12,-
PrileiEVm007055t1,1.1696817,0.9395606,0.24212907913147885,0.99946321114803,0.11061946902654868,phosphoenolpyruvate carboxykinase activity,-
PrileiEVm017725t1,1.127212,1.0734203,0.2596528396396496,0.99946321114803,0.09292035398230089,GTP binding. It is involved in the biological process described with protein transport,RAB3B
PrileiEVm014408t1,1.1032025,1.4951135,0.26993925263817764,0.99946321114803,0.07079646017699115,Reverse transcriptase (RNA-dependent DNA polymerase),-
PrileiEVm016088t1,1.082518,1.4742475,0.27902242664015897,0.99946321114803,0.07079646017699115,,
PrileiEVm008881t1,1.0560547,1.0634565,0.29094322250681004,0.99946321114803,0.08849557522123894,,
PrileiEVm016061t1,1.0307609,1.5310833,0.3026529380114834,0.99946321114803,0.06637168141592921,Stathmin family,-
PrileiEVm010074t1,1.0194327,1.5020083,0.30799761716804275,0.99946321114803,0.06637168141592921,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",exc-7
PrileiEVm004751t1,0.995102,1.2127614,0.31968665198996227,0.99946321114803,0.0752212389380531,calcium-independent protein kinase C activity,PRKCH
PrileiEVm012670t1,0.94123524,3.947465,0.3465843202144442,0.99946321114803,0.03982300884955752,,
PrileiEVm000994t1,0.938965,1.1988856,0.34774871697547804,0.99946321114803,0.07079646017699115,Cell adhesion molecule,CHL1
PrileiEVm002065t1,0.9374974,1.3046054,0.3485027807323172,0.99946321114803,0.06637168141592921,negative regulation of phosphatase activity,TMEM132E
PrileiEVm009193t1,0.935938,3.8786519,0.34930511106436013,0.99946321114803,0.03982300884955752,tyrosine,TH
PrileiEVm003436t1,0.93265873,0.56043375,0.35099618752980577,0.99946321114803,0.1504424778761062,Neural cell adhesion molecule,Fas2
PrileiEVm029619t1,0.9055763,1.5455781,0.365160151568805,0.99946321114803,0.05752212389380531,,
PrileiEVm028604t1,0.8899827,0.6264133,0.37347517771080674,0.99946321114803,0.12389380530973451,,
PrileiEVm007452t1,0.88214004,1.676686,0.3777010904146654,0.99946321114803,0.05309734513274336,Cupin domain,-
PrileiEVm010940t1,0.88007617,5.436847,0.378818051115582,0.99946321114803,0.035398230088495575,aromatic-L-amino-acid decarboxylase activity,DDC
PrileiEVm002199t1,0.87819576,1.0205547,0.37983749435881453,0.99946321114803,0.0752212389380531,Neural cell adhesion molecule,Fas2
PrileiEVm012196t1,0.8731278,1.652986,0.3825934054862563,0.99946321114803,0.05309734513274336,positive regulation of cell-cell adhesion mediated by cadherin,FLOT1
PrileiEVm004977t1,0.8690689,0.9450569,0.3848094432851191,0.99946321114803,0.07964601769911504,modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade,TNIP1
PrileiEVm000404t1,0.8628315,0.82474136,0.38823013998819966,0.99946321114803,0.08849557522123894,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family,unc-104
PrileiEVm014816t1,0.8529708,0.68320245,0.39367550294125053,0.99946321114803,0.10619469026548672,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH
PrileiEVm019218t1,0.8502878,0.749555,0.395165114041799,0.99946321114803,0.09734513274336283,,
PrileiEVm001185t1,0.84893477,4.2333417,0.3959175760277197,0.99946321114803,0.035398230088495575,It is involved in the biological process described with metabolic process,Pld
PrileiEVm027459t1,0.8315525,2.5914643,0.40566158306848055,0.99946321114803,0.03982300884955752,,
PrileiEVm008900t1,0.8225174,2.517576,0.4107825019044865,0.99946321114803,0.03982300884955752,,
PrileiEVm012254t1,0.8016724,1.2660859,0.4227424968624838,0.99946321114803,0.05752212389380531,Ndr family,-
PrileiEVm004443t1,0.7982326,0.52928865,0.42473551583639135,0.99946321114803,0.13716814159292035,Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation,PTPRN
PrileiEVm014331t1,0.7961458,0.57681316,0.42594728518184954,0.99946321114803,0.11504424778761062,"Guanine nucleotide binding protein (G protein), alpha",goa-1
PrileiEVm012684t1,0.7852303,1.2224932,0.43231856037721006,0.99946321114803,0.05752212389380531,phosphoglycerate kinase activity,PGK1
PrileiEVm008092t1,0.7784425,0.86884004,0.4363082047034891,0.99946321114803,0.0752212389380531,positive regulation of vesicle docking,STXBP1
PrileiEVm002592t1,0.7782819,1.5957292,0.4364028105237946,0.99946321114803,0.048672566371681415,,
PrileiEVm020519t1,0.7771812,0.5580003,0.43705185451476736,0.99946321114803,0.11946902654867257,,
PrileiEVm012556t1,0.7765162,1.2242063,0.4374442544560181,0.99946321114803,0.05752212389380531,Ndr family,-
PrileiEVm016761t1,0.77314526,0.687176,0.4394364324635338,0.99946321114803,0.09292035398230089,flotillin,FLOT2
PrileiEVm019536t1,0.768513,1.5286984,0.44218246184577625,0.99946321114803,0.048672566371681415,Calcyphosine,CAPS
PrileiEVm015906t1,0.7653943,1.1862346,0.4440367914080564,0.99946321114803,0.05752212389380531,Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily,-
PrileiEVm001153t1,0.7571618,4.7171745,0.4489529454222033,0.99946321114803,0.030973451327433628,"DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated",PROX1
PrileiEVm001253t1,0.7569554,0.80333227,0.44907658719391463,0.99946321114803,0.07964601769911504,Cell adhesion molecule,CHL1
PrileiEVm002469t1,0.75220853,4.5878696,0.45192567498484226,0.99946321114803,0.030973451327433628,sodium:potassium-exchanging ATPase activity,ATP1A1
PrileiEVm003518t1,0.73750925,0.9071997,0.46081272817454,0.99946321114803,0.06637168141592921,protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation,MAP3K13
PrileiEVm008853t1,0.73152405,3.9151804,0.46445912612174023,0.99946321114803,0.030973451327433628,Major Facilitator Superfamily,SLC18A1
PrileiEVm021487t1,0.72526366,0.8035867,0.46829029393997856,0.99946321114803,0.0752212389380531,calmodulin,-
PrileiEVm011596t1,0.72076905,3.6302052,0.4710516320406437,0.99946321114803,0.030973451327433628,"lengsin, lens protein with glutamine synthetase domain",-
PrileiEVm011609t1,0.71943897,1.1760378,0.4718704819484606,0.99946321114803,0.05309734513274336,"Cugbp, Elav-like family member",CELF6
PrileiEVm017775t1,0.7187052,1.9239008,0.47232259681906463,0.99946321114803,0.03982300884955752,BTB POZ domain-containing protein,KCTD6
PrileiEVm011622t1,0.7171917,1.5118142,0.4732558368628188,0.99946321114803,0.04424778761061947,Camp-dependent protein kinase type,PRKAR2B
PrileiEVm013014t1,0.71595335,3.5678127,0.4740201508272681,0.99946321114803,0.030973451327433628,"CRAL/TRIO, N-terminal domain",-
PrileiEVm019169t1,0.7102663,0.865907,0.4775390307065863,0.99946321114803,0.06637168141592921,Secreted protein acidic and rich in cysteine Ca binding region,cbn-1
PrileiEVm014543t1,0.70116234,2.1912873,0.48320170145337327,0.99946321114803,0.035398230088495575,May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane,-
PrileiEVm004823t1,0.6978602,2.227232,0.4852646421881558,0.99946321114803,0.035398230088495575,Rho protein signal transduction,CTNNAL1
PrileiEVm009480t1,0.68960476,3.0937946,0.49044279111631073,0.99946321114803,0.030973451327433628,calcium ion-regulated exocytosis of neurotransmitter,SYT15
PrileiEVm004656t1,0.6777949,1.2846841,0.497901770125866,0.99946321114803,0.048672566371681415,"cell cycle switching, mitotic to meiotic cell cycle",C17orf104
PrileiEVm002375t1,0.66561806,0.8820642,0.5056552463028501,0.99946321114803,0.061946902654867256,major facilitator superfamily,MFSD6
PrileiEVm001441t1,0.6620866,1.5624361,0.5079157322116983,0.99946321114803,0.03982300884955752,Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation,PTPRZ1
PrileiEVm007060t1,0.6605272,1.5275059,0.5089155539071086,0.99946321114803,0.03982300884955752,,
PrileiEVm010275t1,0.66034377,1.9705813,0.509033247754545,0.99946321114803,0.035398230088495575,Schwannomin-interacting protein 1,SCHIP1
PrileiEVm014644t1,0.65497774,5.0776863,0.5124820915587376,0.99946321114803,0.02654867256637168,,
PrileiEVm004950t1,0.6501162,1.8805367,0.5156171705900034,0.99946321114803,0.035398230088495575,cationic amino acid transporter,-
PrileiEVm011926t1,0.6385356,2.5263388,0.5231250620415765,0.99946321114803,0.030973451327433628,extracellularly ATP-gated cation channel activity,P2RX1
PrileiEVm002337t1,0.63486654,4.2042894,0.5255154526361467,0.99946321114803,0.02654867256637168,high mobility group,SOX6
PrileiEVm001967t1,0.6282163,0.8671386,0.5298622309798889,0.99946321114803,0.05752212389380531,large conductance calcium-activated potassium channel activity,KCNMA1
PrileiEVm012385t1,0.62360704,2.3927262,0.5328856825729931,0.99946321114803,0.030973451327433628,camp-dependent protein kinase catalytic subunit,PRKACB
