reference_gene,logfoldchanges,pvals_adj,pristina_gene,identity,alignment_length,mismatches,gap_opens,query_start,query_end,target_start,target_end,evalue,bit_score,test_id,reference_species,reference_cell_type,expected_pristina_cell_type
ENSG00000163586,3.507708,2.9426814235531864e-201,PrileiEVm021548t1,33.083,133,80,3,2,126,153,548,2.9e-11,60.1,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000104267,3.220252,8.139087308950688e-189,PrileiEVm016750t1,46.494,271,131,6,1,259,163,969,9.160000000000001e-73,238.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000155850,3.440927,1.0328982810181528e-165,PrileiEVm004007t1,33.525,695,420,11,60,716,402,2474,1.2299999999999999e-104,345.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000117592,2.7192926,3.822167417700372e-136,PrileiEVm018331t1,63.761,218,76,2,5,222,85,729,2.23e-96,289.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000143416,2.6551387,7.633949721697274e-126,PrileiEVm010772t1,60.039,508,192,7,17,514,56,1576,0.0,633.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000091138,3.2874873,2.8372168916214573e-123,PrileiEVm004043t1,34.795,707,427,8,46,718,922,3042,1.39e-106,352.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000167996,1.6239003,2.5815694712584853e-124,PrileiEVm020211t1,62.275,167,60,1,7,173,99,590,6.34e-71,219.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000205542,1.772475,1.216170128350184e-119,PrileiEVm020925t1,60.526,38,15,0,7,44,463,576,4.19e-07,44.7,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000117472,2.3690891,8.721909684948995e-113,PrileiEVm016600t1,28.34,247,158,4,4,241,323,1033,3.55e-17,81.3,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000175793,2.3325624,1.2109050473154334e-109,PrileiEVm017560t1,66.81,232,75,1,3,234,113,802,4.3500000000000003e-103,320.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000145287,2.821842,9.399150094664127e-105,PrileiEVm022940t1,43.333,90,43,2,25,107,271,537,1.71e-14,68.9,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000105755,2.1918075,1.3407510065449014e-105,PrileiEVm016245t1,58.065,217,91,0,25,241,289,939,7.3600000000000005e-87,273.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000166165,2.6427763,4.2187389307305047e-104,PrileiEVm005323t1,53.226,372,168,3,10,380,71,1171,2.9199999999999996e-128,389.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000131981,1.6984941,3.189387024243896e-100,PrileiEVm018605t1,39.683,126,68,4,119,241,347,709,1.74e-20,89.4,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000135916,1.8168681,5.554149127735556e-93,PrileiEVm016093t1,26.852,216,138,5,49,250,169,798,2.49e-16,79.3,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000075142,1.7651174,6.919321036959624e-91,PrileiEVm017671t1,46.154,169,83,4,33,197,306,800,1.21e-43,153.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000171747,1.5456662,1.9611211115196007e-88,PrileiEVm014679t1,30.793,328,193,6,30,323,68,1051,2.14e-37,142.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000103375,4.717122,3.3225453802043693e-76,PrileiEVm015442t1,35.747,221,120,7,29,231,321,971,1.43e-20,91.3,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000079385,2.545331,2.760665104508903e-79,PrileiEVm001427t1,25.46,326,210,14,94,398,1485,2426,9.01e-12,69.3,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000102804,1.8931137,6.216631628044295e-80,PrileiEVm008951t1,66.667,72,24,0,969,1040,1659,1874,6.09e-23,107.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000172270,1.7071114,4.783681824762476e-79,PrileiEVm016045t1,34.021,194,113,7,184,364,373,948,6.43e-18,87.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000105388,2.1432827,8.4339685621355e-75,PrileiEVm002233t1,24.71,518,342,12,196,672,1114,2646,1.94e-21,101.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000005022,1.5132041,2.4308696646677376e-74,PrileiEVm015708t1,52.218,293,131,5,6,295,125,985,2.9e-87,270.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000168447,2.9782712,1.0249286302245128e-70,PrileiEVm005173t1,30.0,420,253,13,267,668,1187,2377,3.53e-48,184.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000169764,1.9632887,1.2187544007049498e-70,PrileiEVm010205t1,66.139,505,147,5,28,517,93,1580,0.0,657.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000064601,2.0797548,6.269249760524057e-67,PrileiEVm010936t1,41.202,466,254,8,46,498,88,1464,8.68e-123,371.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000075624,1.0228347,1.3292392131162572e-66,PrileiEVm013721t1,98.128,374,7,0,2,375,78,1199,0.0,775.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000118680,1.4115621,1.932612979582628e-66,PrileiEVm020278t1,87.662,154,18,1,16,169,171,629,1.61e-89,278.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000140297,2.0181723,9.93912505843242e-61,PrileiEVm011347t1,35.734,361,205,6,68,426,391,1398,1.07e-74,243.0,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000142669,1.3897178,3.751756117306224e-60,PrileiEVm023045t1,40.86,93,52,1,2,91,513,791,3.21e-16,72.8,human_colonocyte,hs,Colonocyte,stomach 2
ENSG00000172016,8.524745,0.0,PrileiEVm003504t1,30.986,142,85,4,39,172,1459,1869,2.69e-11,62.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000115386,4.9678555,6.835125351883466e-300,PrileiEVm000322t1,37.209,129,76,3,36,164,6610,6981,1.13e-18,83.2,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000170231,6.282162,0.0,PrileiEVm021548t1,28.571,133,84,3,52,175,156,548,1.56e-07,51.2,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000243955,4.0941358,3.4040238561441713e-233,PrileiEVm018545t1,34.0,200,123,4,7,199,141,734,8.270000000000001e-22,93.2,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000102837,3.4034753,1.057569606228982e-202,PrileiEVm006568t1,26.923,234,166,4,271,503,1511,2200,2.43e-13,73.6,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000275896,8.015025,1.9729916734145942e-162,PrileiEVm014934t1,36.882,263,136,8,23,261,515,1285,3.67e-45,159.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000198786,1.7798334,2.648623882036024e-172,PrileiEVm024262t1,34.667,375,231,4,70,437,167,1270,1.47e-57,201.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000011465,5.650688,1.0579084791459697e-144,PrileiEVm004699t1,28.028,289,154,6,91,357,710,1480,4.01e-18,87.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000136872,2.679826,2.0697227764535914e-103,PrileiEVm014054t1,63.736,364,131,1,1,364,70,1158,6.17e-155,452.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000161970,1.7324463,3.019082950798806e-98,PrileiEVm021890t1,78.571,140,29,1,1,140,52,468,2.5e-63,192.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000197766,3.9446762,3.488586629975164e-90,PrileiEVm010947t1,38.934,244,130,8,32,259,737,1459,1.65e-44,160.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000145423,7.497049,7.199924778677342e-76,PrileiEVm012985t1,40.769,260,139,5,38,291,351,1103,6.61e-58,198.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000133112,0.9812013,1.0884978901927446e-73,PrileiEVm020199t1,46.243,173,88,4,1,172,83,589,8.36e-43,145.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000198804,0.89970535,1.6621186603698192e-61,PrileiEVm022598t1,63.785,428,155,0,80,507,31,1314,4.26e-167,481.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000139329,5.822345,3.517943732758562e-56,PrileiEVm004534t1,27.0,200,126,6,14,202,463,1035,7.39e-18,85.9,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000198763,0.824102,1.6530010213864354e-51,PrileiEVm018192t1,37.427,171,94,4,33,200,663,1145,7.58e-11,64.3,human_paneth,hs,Paneth,anterior/mid-intestine 2
ENSG00000026025,3.453645,6.291381180802208e-51,PrileiEVm008123t1,32.394,426,218,9,47,411,201,1451,2.85e-38,149.0,human_paneth,hs,Paneth,anterior/mid-intestine 2
