region_id,subject_id,exact_kmer_matches
PrileiEVm014063t1|2051-2450,PrileiEVm000798t1,7
PrileiEVm014063t1|1126-1525,PrileiEVm001373t1,5
PrileiEVm014063t1|2051-2450,PrileiEVm007202t1,7
PrileiEVm014063t1|2051-2450,PrileiEVm006276t1,4
PrileiEVm014063t1|2051-2450,PrileiEVm011689t1,6
PrileiEVm014063t1|2051-2450,PrileiEVm027579t1,4
PrileiEVm014063t1|2051-2450,PrileiEVm028139t1,3
PrileiEVm014063t1|2051-2450,PrileiEVm006608t1,3
PrileiEVm014063t1|2051-2450,PrileiEVm006342t1,4
PrileiEVm012889t1|2176-2575,PrileiEVm010808t1,3
PrileiEVm014063t1|2051-2450,PrileiEVm012781t1,3
PrileiEVm014063t1|2051-2450,PrileiEVm019968t1,4
PrileiEVm014063t1|2051-2450,PrileiEVm028389t1,4
PrileiEVm014063t1|1126-1525,PrileiEVm010668t1,3
PrileiEVm008813t1|1301-1700,PrileiEVm028035t1,138
PrileiEVm008813t1|1701-2100,PrileiEVm028035t1,381
PrileiEVm008813t1|2551-2950,PrileiEVm028035t1,381
PrileiEVm008813t1|2951-3350,PrileiEVm028035t1,381
PrileiEVm011523t1|851-1250,PrileiEVm011543t1,122
PrileiEVm014063t1|2051-2450,PrileiEVm027231t1,6
PrileiEVm014063t1|2051-2450,PrileiEVm008529t1,3
PrileiEVm014063t1|2051-2450,PrileiEVm002159t1,3
PrileiEVm014063t1|2051-2450,PrileiEVm013609t1,4
