candidate,cluster,cell_type,Unnamed: 0,pristina_gene,logfoldchanges,pvals,pvals_adj,scores,diamond_annotation,marker_rank,annotation,preferred_name
striated muscle,5,muscle 1,1,PrileiEVm000300t1,6.037076473236084,0.0,0.0,66.02101135253906,AHX26698.1 myosin [Platynereis dumerilii],2,motor activity,unc-54
striated muscle,5,muscle 1,3,PrileiEVm019310t1,5.11629056930542,0.0,0.0,52.52405166625977,"P80164.1 RecName: Full=Myosin regulatory light chain, striated muscle, 25 kDa isoform; Short=LC25 [Lumbricus terrestris]",4,calcium ion binding,mlc-4
striated muscle,5,muscle 1,5,PrileiEVm025675t1,4.518765449523926,0.0,0.0,42.02103424072266,AAG16892.1 myosin regulatory light chain [Riftia pachyptila],6,,
striated muscle,5,muscle 1,6,PrileiEVm016172t1,4.832164287567139,0.0,0.0,41.02091598510742,VDI77504.1 tropomyosin 1 [Mytilus galloprovincialis],7,structural constituent of muscle,Tm2
striated muscle,5,muscle 1,8,PrileiEVm016000t1,5.087067127227783,0.0,0.0,38.70438003540039,"RTG80171.1 troponin T, fast skeletal muscle, partial [Schistosoma bovis]",9,It is involved in the biological process described with regulation of muscle contraction,TNNT2
striated muscle,5,muscle 1,10,PrileiEVm014978t1,4.018381118774414,2.42734828483188e-287,6.125303062760301e-284,36.22537231445312,"QIW94275.1 troponin T, partial [Urechis unicinctus]",11,It is involved in the biological process described with regulation of muscle contraction,TNNT2
striated muscle,5,muscle 1,11,PrileiEVm020932t1,4.125607013702393,6.457216359896945e-275,1.493661764316828e-271,35.42743682861328,AAN63944.1 myosin essential light chain [Eisenia fetida],12,mesoderm development,Mlc1
striated muscle,5,muscle 1,12,PrileiEVm015909t1,4.45386791229248,1.42651575788626e-241,3.045940339031292e-238,33.1915283203125,XP_036357966.1 tropomyosin Tod p 1.0102 isoform X25 [Octopus sinensis],13,structural constituent of muscle,Tm2
striated muscle,5,muscle 1,16,PrileiEVm018738t1,5.429908752441406,3.408308145353695e-158,4.979358815722519e-155,26.79801177978516,CDS39801.1 troponin i [Echinococcus multilocularis],17,regulation of systemic arterial blood pressure by ischemic conditions,TNNI1
striated muscle,5,muscle 1,21,PrileiEVm003702t1,4.385250568389893,3.679356319708173e-105,3.928137412402287e-102,21.77888298034668,XP_013078396.1 PREDICTED: paramyosin-like isoform X2 [Biomphalaria glabrata],22,motor activity,unc-15
striated muscle,5,muscle 1,22,PrileiEVm021389t1,3.540535926818848,5.860321982273605e-101,6.024845095701878e-98,21.33095169067383,BAB18897.1 troponin C [Perinereis vancaurica tetradentata],23,EF-hand domain pair,-
striated muscle,5,muscle 1,23,PrileiEVm003774t1,5.749125957489014,3.108077149922378e-95,3.08121448312662e-92,20.70522117614746,O96064.1 RecName: Full=Paramyosin [Mytilus galloprovincialis],24,motor activity,unc-15
striated muscle,6,muscle 2,0,PrileiEVm000300t1,10.15094947814941,0.0,0.0,99.01683807373047,AHX26698.1 myosin [Platynereis dumerilii],1,motor activity,unc-54
striated muscle,6,muscle 2,1,PrileiEVm019310t1,9.368986129760742,0.0,0.0,93.29473876953125,"P80164.1 RecName: Full=Myosin regulatory light chain, striated muscle, 25 kDa isoform; Short=LC25 [Lumbricus terrestris]",2,calcium ion binding,mlc-4
striated muscle,6,muscle 2,5,PrileiEVm014978t1,8.809515953063965,0.0,0.0,85.9947738647461,"QIW94275.1 troponin T, partial [Urechis unicinctus]",6,It is involved in the biological process described with regulation of muscle contraction,TNNT2
striated muscle,6,muscle 2,7,PrileiEVm025675t1,8.524273872375488,0.0,0.0,83.46778106689453,AAG16892.1 myosin regulatory light chain [Riftia pachyptila],8,,
striated muscle,6,muscle 2,8,PrileiEVm020932t1,8.180342674255371,0.0,0.0,77.28048706054688,AAN63944.1 myosin essential light chain [Eisenia fetida],9,mesoderm development,Mlc1
striated muscle,6,muscle 2,10,PrileiEVm019293t1,8.174558639526367,0.0,0.0,69.36187744140625,CDS39801.1 troponin i [Echinococcus multilocularis],11,regulation of systemic arterial blood pressure by ischemic conditions,TNNI1
striated muscle,6,muscle 2,13,PrileiEVm016172t1,6.814712524414062,0.0,0.0,61.99711227416992,VDI77504.1 tropomyosin 1 [Mytilus galloprovincialis],14,structural constituent of muscle,Tm2
striated muscle,6,muscle 2,16,PrileiEVm021389t1,6.500442981719971,0.0,0.0,49.72419738769531,BAB18897.1 troponin C [Perinereis vancaurica tetradentata],17,EF-hand domain pair,-
striated muscle,6,muscle 2,20,PrileiEVm002822t1,6.766963958740234,0.0,0.0,46.74137115478516,"XP_023349635.1 myosin heavy chain, muscle-like [Eurytemora affinis]",21,Myosin N-terminal SH3-like domain,Myh6
striated muscle,6,muscle 2,21,PrileiEVm015909t1,5.607961177825928,0.0,0.0,45.9149284362793,XP_036357966.1 tropomyosin Tod p 1.0102 isoform X25 [Octopus sinensis],22,structural constituent of muscle,Tm2
striated muscle,6,muscle 2,23,PrileiEVm016000t1,5.261094570159912,0.0,0.0,41.4130973815918,"RTG80171.1 troponin T, fast skeletal muscle, partial [Schistosoma bovis]",24,It is involved in the biological process described with regulation of muscle contraction,TNNT2
striated muscle,6,muscle 2,24,PrileiEVm003668t1,6.162615299224854,0.0,0.0,40.28539657592773,BBB04240.1 paramyosin [Uroteuthis edulis],25,motor activity,unc-15
